CID,IsomericSMILES,Descriptors,Descriptor Count,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
6405,CCC(C)(C)O,"['herbal', 'aquatic', 'alcohol', 'savory']",4,1,0,1,0,0,0,0,1,1,0,0
6416,CC(=O)C(C)(C)C,"['herbal', 'aquatic']",2,0,0,1,0,0,0,0,1,0,0,0
6417,CC(C)(C)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6425,CC(C)(C(C)(C)O)O,"['herbal', 'aquatic', 'savory', 'earthy']",4,0,0,1,1,0,0,0,1,1,0,0
6448,CC(=O)OC1CC2CCC1(C2(C)C)C,"['herbal', 'woody']",2,0,0,0,0,0,0,0,1,0,0,1
6482,C[C@@H]1CC[C@@H]2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,"['green', 'earthy']",2,0,0,0,1,0,0,1,0,0,0,0
6493,CCC(C)(CC)O,"['herbal', 'green', 'earthy', 'fruity', 'savory']",5,0,0,0,1,0,1,1,1,1,0,0
6495,CC(C)(OC)OC,['aquatic'],1,0,0,1,0,0,0,0,0,0,0,0
6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,"['aquatic', 'flower', 'savory', 'fruity']",4,0,0,1,0,1,1,0,0,1,0,0
6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,"['alcohol', 'fruity']",2,1,0,0,0,0,1,0,0,0,0,0
6514,C(CS)C(=O)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6532,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,"['herbal', 'flower', 'fruity']",3,0,0,0,0,1,1,0,1,0,0,0
6533,CC(=CCCC(C)(C=C)OC(=O)C=CC1=CC=CC=C1)C,"['herbal', 'flower']",2,0,0,0,0,1,0,0,1,0,0,0
6544,CC1=CC(=O)CC(C1)(C)C,"['herbal', 'green', 'animal', 'fruity', 'aquatic', 'savory']",6,0,1,1,0,0,1,1,1,1,0,0
6548,CCC(C)(CCCC(C)C)O,"['aquatic', 'flower', 'green', 'fruity']",4,0,0,1,0,1,1,1,0,0,0,0
6549,CC(=CCCC(C)(C=C)O)C,"['herbal', 'flower', 'green', 'fruity', 'aquatic']",5,0,0,1,0,1,1,1,1,0,0,0
6558,CC(C)CN,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6560,CC(C)CO,"['animal', 'aquatic', 'alcohol', 'savory']",4,1,1,1,0,0,0,0,0,1,0,0
6561,CC(C)C=O,"['green', 'flower', 'fruity', 'aquatic', 'savory']",5,0,0,1,0,1,1,1,0,1,0,0
6562,CC(=C)C=O,"['herbal', 'flower', 'green', 'fruity']",4,0,0,0,0,1,1,1,1,0,0,0
6568,CCC(C)O,"['alcohol', 'savory', 'fruity']",3,1,0,0,0,0,1,0,0,1,0,0
6569,CCC(=O)C,"['herbal', 'aquatic', 'fruity']",3,0,0,1,0,0,1,0,1,0,0,0
6570,CC(=O)C=C,['aquatic'],1,0,0,1,0,0,0,0,0,0,0,0
6584,CC(=O)OC,"['aquatic', 'alcohol', 'fruity']",3,1,0,1,0,0,1,0,0,0,0,0
6590,CC(C)C(=O)O,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6612,CC1=CCCC(C1C=CC(=O)CCC=C)(C)C,"['flower', 'green', 'fruity']",3,0,0,0,0,1,1,1,0,0,0,0
6616,CC1(C2CCC(C2)C1=C)C,"['herbal', 'green', 'woody', 'fruity', 'aquatic']",5,0,0,1,0,0,1,1,1,0,0,1
6631,CC1CCC(CC1)C(C)(C)OC(=O)C,"['herbal', 'flower', 'woody', 'fruity', 'aquatic']",5,0,0,1,0,1,1,0,1,0,0,1
6632,CC1CCC(C=C1)(C(C)C)OC(=O)C,"['herbal', 'woody', 'flower', 'fruity']",4,0,0,0,0,1,1,0,1,0,0,1
6651,CC1(CCC(CC1)C(C)(C)O)O,"['herbal', 'woody', 'spices']",3,0,0,0,0,0,0,0,1,0,1,1
6652,CC(CC=O)C1=CC=C(C=C1)C(C)(C)C,"['aquatic', 'flower', 'green']",3,0,0,1,0,1,0,1,0,0,0,0
6653,CCOC(=O)C(C)(C)O,"['herbal', 'green']",2,0,0,0,0,0,0,1,1,0,0,0
6654,CC1=CCC2CC1C2(C)C,"['herbal', 'aquatic', 'woody', 'earthy']",4,0,0,1,1,0,0,0,1,0,0,1
6657,CCC(C(=O)O)N,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6658,CC(=C)C(=O)OC,"['savory', 'fruity']",2,0,0,0,0,0,1,0,0,1,0,0
6660,CC1=C(C(=O)CC1)O,"['savory', 'spices']",2,0,0,0,0,0,0,0,0,1,1,0
6669,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,"['animal', 'flower']",2,0,1,0,0,1,0,0,0,0,0,0
6736,CC1=CNC2=CC=CC=C12,"['animal', 'flower', 'fruity']",3,0,1,0,0,1,1,0,0,0,0,0
6753,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],"['animal', 'flower']",2,0,1,0,0,1,0,0,0,0,0,0
6826,CNC1=CC=CC=C1C(=O)OC,"['animal', 'flower', 'alcohol', 'fruity']",4,1,1,0,0,1,1,0,0,0,0,0
6835,COC1=CC=CC=C1C2=CC=CC=C2,"['flower', 'green', 'fruity']",3,0,0,0,0,1,1,1,0,0,0,0
6873,CC(C)COC(=O)C1=CC=CC=C1O,"['herbal', 'flower']",2,0,0,0,0,1,0,0,1,0,0,0
6874,CC(C)CCOC(=O)C1=CC=CC=C1O,"['herbal', 'flower', 'green', 'earthy', 'aquatic']",5,0,0,1,1,1,0,1,1,0,0,0
6877,CCOC(=O)C1=CC=CC=C1N,"['flower', 'green', 'fruity']",3,0,0,0,0,1,1,1,0,0,0,0
6881,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N,"['flower', 'fruity']",2,0,0,0,0,1,1,0,0,0,0,0
6885,C1C2=CC=CC=C2C(=O)O1,"['herbal', 'spices', 'savory', 'fruity']",4,0,0,0,0,0,1,0,1,1,1,0
6915,CCC(CC)C(=O)O,"['earthy', 'savory', 'fruity']",3,0,0,0,1,0,1,0,0,1,0,0
6920,CC(=O)C1=CC=CS1,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6930,CCC1=CC2=C(C=C1C(=O)C)C(CCC2(C)C)(C)C,['animal'],1,0,1,0,0,0,0,0,0,0,0,0
6937,CC1=CC(=C(C=C1)C(C)(C)C)O,"['animal', 'savory']",2,0,1,0,0,0,0,0,0,1,0,0
6943,CC(C)C1=CC=CC=C1O,"['animal', 'savory']",2,0,1,0,0,0,0,0,0,1,0,0
6944,CC1=CC=CC=C1[N+](=O)[O-],"['herbal', 'savory']",2,0,0,0,0,0,0,0,1,1,0,0
6985,CC1=CC(=C(C=C1)C(=O)C)C,"['herbal', 'flower', 'spices']",3,0,0,0,0,1,0,0,1,0,1,0
6986,CC1CCC(C(=O)C1)C(C)C,"['herbal', 'aquatic']",2,0,0,1,0,0,0,0,1,0,0,0
6987,CC1=CC(=O)C(CC1)C(C)C,"['herbal', 'aquatic', 'fruity']",3,0,0,1,0,0,1,0,1,0,0,0
6988,CC1CCC(=C(C)C)C(=O)C1,"['herbal', 'green']",2,0,0,0,0,0,0,1,1,0,0,0
6989,CC1=CC(=C(C=C1)C(C)C)O,"['herbal', 'green', 'savory']",3,0,0,0,0,0,0,1,1,1,0,0
6997,CCC1=CC=CC=C1O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
6998,C1=CC=C(C(=C1)C=O)O,"['herbal', 'flower', 'aquatic', 'savory', 'spices']",5,0,0,1,0,1,0,0,1,1,1,0
7002,CC1=CC=CC2=CC=CC=C12,"['animal', 'herbal', 'green', 'earthy']",4,0,1,0,1,0,0,1,1,0,0,0
7012,CCC(C1=CC=CC=C1)C(=O)O,"['flower', 'savory']",2,0,0,0,0,1,0,0,0,1,0,0
7016,C1CCC(CC1)C2CCCCC2=O,"['herbal', 'aquatic', 'flower']",3,0,0,1,0,1,0,0,1,0,0,0
7017,C1=CC=C(C=C1)C2=CC=CC=C2O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
7037,C1=CC=C(C=C1)C(C2=CC=CC=C2)O,"['animal', 'flower', 'green']",3,0,1,0,0,1,0,1,0,0,0,0
7041,COC1=C(C(=CC=C1)OC)O,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
7043,COC1=CC=CC=C1OC,"['earthy', 'animal', 'savory']",3,0,1,0,1,0,0,0,0,1,0,0
7045,C1=CC=C2C(=C1)N=CC=N2,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
7047,C1=CC=C2C(=C1)C=CC=N2,"['animal', 'herbal', 'earthy', 'spices']",4,0,1,0,1,0,0,0,1,0,1,0
7055,CC1=CC2=CC=CC=C2C=C1,['flower'],1,0,0,0,0,1,0,0,0,0,0,0
7058,C1=CC=C2C=C(C=CC2=C1)S,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
7059,CC1=CC2=C(C=C1)N=CC=C2,"['animal', 'herbal', 'flower']",3,0,1,0,0,1,0,0,1,0,0,0
7060,CC1=NC2=CC=CC=C2C=C1,['herbal'],1,0,0,0,0,0,0,0,1,0,0,0
7092,CC1=CC2=C(C=C1)OC(=O)C=C2,"['herbal', 'flower', 'earthy', 'fruity', 'savory', 'spices']",6,0,0,0,1,1,1,0,1,1,1,0
7095,C1=CC=C(C=C1)C2=CC=CC=C2,"['flower', 'green', 'aquatic', 'savory']",4,0,0,1,0,1,0,1,0,1,0,0
7118,COC1=C(C=C(C=C1)CO)OC,['savory'],1,0,0,0,0,0,0,0,0,1,0,0
7119,COC1=CC2=CC=CC=C2C=C1,"['flower', 'fruity']",2,0,0,0,0,1,1,0,0,0,0,0
7122,CC(=O)C1=CC2=CC=CC=C2C=C1,"['flower', 'savory', 'fruity']",3,0,0,0,0,1,1,0,0,1,0,0
7127,COC1=C(C=C(C=C1)CC=C)OC,"['herbal', 'flower', 'earthy', 'animal', 'aquatic', 'savory', 'spices']",7,0,1,1,1,1,0,0,1,1,1,0
7128,CC=CC1=CC(=C(C=C1)OC)OC,"['herbal', 'flower', 'savory', 'spices']",4,0,0,0,0,1,0,0,1,1,1,0
7129,CCOC1=CC2=CC=CC=C2C=C1,"['flower', 'fruity']",2,0,0,0,0,1,1,0,0,0,0,0
