CID,IsomericSMILES,Descriptors,alcohol,animal,aquatic,earthy,flower,fruity,green,herbal,savory,spices,woody
5281532,C/C(=C/CCC1(C2CCC(C2)C1=C)C)/CO,['animal'],0,1,0,0,0,0,0,0,0,0,0
5281534,C/C(=C\C/C=C(\C)/C=C)/CC/C=C(\C)/C=O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
5281535,C/C(=C\CCC(=C)C=C)/CC/C=C(\C)/C=O,"['aquatic', 'fruity']",0,0,1,0,0,1,0,0,0,0,0
5281553,CC(=CC/C=C(\C)/C=C)C,"['green', 'spices', 'herbal', 'fruity']",0,0,0,0,0,1,1,1,0,1,0
5281929,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC,"['flower', 'fruity', 'green', 'herbal', 'aquatic']",0,0,1,0,1,1,1,1,0,0,0
5282108,CC1=CCCC(C1/C=C/C(=O)C)(C)C,"['flower', 'fruity']",0,0,0,0,1,1,0,0,0,0,0
5282109,CC(=CCC/C(=C/COC=O)/C)C,"['green', 'flower', 'aquatic', 'fruity']",0,0,1,0,1,1,1,0,0,0,0
5282110,CC(=O)OC/C=C/C1=CC=CC=C1,"['flower', 'spices', 'fruity']",0,0,0,0,1,1,0,0,0,1,0
5282650,CCC/C=C(\C)/C(=O)O,"['savory', 'fruity']",0,0,0,0,0,1,0,0,1,0,0
5282706,C/C=C/CC(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282707,CCC/C=C/C(=O)O,"['animal', 'savory', 'fruity', 'green', 'herbal']",0,1,0,0,0,1,1,1,1,0,0
5282708,CC/C=C/CC(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282709,CCCC/C=C/C(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282710,CCC/C=C/CC(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282711,CC/C=C/CCC(=O)O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5282713,CCCCC/C=C\C(=O)O,"['savory', 'animal']",0,1,0,0,0,0,0,0,1,0,0
5282714,CCCCC/C=C/C(=O)O,"['savory', 'animal']",0,1,0,0,0,0,0,0,1,0,0
5282716,CCCC/C=C/CC(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282718,CC/C=C\CCCC(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282722,CCCCCC/C=C\C(=O)O,['green'],0,0,0,0,0,0,1,0,0,0,0
5282723,CCCCC/C=C/CC(=O)O,"['green', 'savory', 'fruity']",0,0,0,0,0,1,1,0,1,0,0
5282724,CCCCCCC/C=C/C(=O)O,"['green', 'savory', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,1,0,0
5282725,CCCCCC/C=C/CC(=O)O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5282726,CCCCC/C=C/CCC(=O)O,['savory'],0,0,0,0,0,0,0,0,1,0,0
5282729,CCCCCCCCC/C=C/C(=O)O,"['green', 'fruity']",0,0,0,0,0,1,1,0,0,0,0
5282730,CCCCCCC/C=C/CCC(=O)O,"['green', 'savory']",0,0,0,0,0,0,1,0,1,0,0
5282940,C(CCCCO)CCC/C=C/CCCCCC(=O)O,['animal'],0,1,0,0,0,0,0,0,0,0,0
5283292,CCCC/C=C/CCCCO,['flower'],0,0,0,0,1,0,0,0,0,0,0
5283308,C/C=C/CCC=O,"['green', 'savory']",0,0,0,0,0,0,1,0,1,0,0
5283316,CCCC/C=C/C=O,"['green', 'savory', 'aquatic', 'fruity']",0,0,1,0,0,1,1,0,1,0,0
