,descriptor_normalised,source,source_count
421,lettuce,"{'flavornet', 'goodscents'}",2
422,licorice,"{'aromadb', 'flavornet', 'ifra_2019', 'goodscents'}",4
423,licorice black licorice,{'goodscents'},1
424,light,"{'dravnieks_1985', 'ifra_2019', 'goodscents'}",3
425,lilac,"{'arctander_1960', 'sigma_2014', 'flavornet', 'goodscents'}",4
426,lilial,{'goodscents'},1
427,lily,"{'sigma_2014', 'aromadb', 'goodscents', 'arctander_1960', 'flavornet', 'ifra_2019'}",6
428,lily of the valley,{'goodscents'},1
429,lily-of-the-valley,{'goodscents'},1
430,lime,"{'sigma_2014', 'ifra_2019', 'goodscents'}",3
431,linalool,{'goodscents'},1
432,linden,"{'ifra_2019', 'goodscents'}",2
433,linden flower,{'goodscents'},1
434,liquid,{'goodscents'},1
435,liver,{'goodscents'},1
436,loganberry,{'goodscents'},1
437,lovage,{'goodscents'},1
438,lychee,{'goodscents'},1
439,mace,{'goodscents'},1
440,magnolia,"{'flavornet', 'ifra_2019', 'goodscents'}",3
441,mahogany,{'goodscents'},1
442,malty,"{'dravnieks_1985', 'flavornet', 'leffingwell', 'goodscents'}",4
443,mandarin,"{'flavornet', 'ifra_2019', 'goodscents'}",3
444,mango,"{'sigma_2014', 'ifra_2019', 'goodscents'}",3
445,maple,"{'sigma_2014', 'aromadb', 'goodscents', 'flavornet', 'ifra_2019'}",5
446,maple syrup,{'dravnieks_1985'},1
447,marigold,"{'sigma_2014', 'ifra_2019'}",2
448,marine,"{'ifra_2019', 'goodscents'}",2
449,marjoram,{'goodscents'},1
450,marshmallow,{'flavornet'},1
451,marzipan,{'goodscents'},1
452,may,{'goodscents'},1
453,meat broth,{'flavornet'},1
454,meaty,"{'sigma_2014', 'leffingwell', 'aromadb', 'goodscents', 'flavornet'}",5
455,"meaty ( cooked,good)",{'dravnieks_1985'},1
456,meaty roasted meaty,{'goodscents'},1
457,medical,{'goodscents'},1
458,medicinal,"{'sigma_2014', 'leffingwell', 'goodscents', 'dravnieks_1985', 'arctander_1960', 'ifra_2019'}",6
459,medicine,{'flavornet'},1
